key_CLM5PPE,param,minmax,include,person_to_run,round_to_run,key_coupledPPE,key_landonlyPPE
OAAT0000,default,default,yes,czarakas,1,COUP0000,OFFL0000
OAAT0013,rhosnir,min,yes,czarakas,1,COUP0001,OFFL0001
OAAT0014,rhosnir,max,yes,czarakas,1,COUP0002,OFFL0002
OAAT0035,d_max,min,yes,czarakas,1,COUP0007,OFFL0007
OAAT0036,d_max,max,yes,czarakas,1,COUP0008,OFFL0008
OAAT0037,frac_sat_soil_dsl_init,min,yes,czarakas,1,COUP0009,OFFL0009
OAAT0038,frac_sat_soil_dsl_init,max,yes,czarakas,1,COUP0010,OFFL0010
OAAT0072,maximum_leaf_wetted_fraction,min,yes,czarakas,1,COUP0013,OFFL0013
OAAT0073,maximum_leaf_wetted_fraction,max,yes,czarakas,1,COUP0014,OFFL0014
OAAT0076,fff,min,yes,czarakas,1,COUP0015,OFFL0015
OAAT0077,fff,max,yes,czarakas,1,COUP0016,OFFL0016
OAAT0098,upplim_destruct_metamorph,min,yes,czarakas,1,COUP0017,OFFL0017
OAAT0099,upplim_destruct_metamorph,max,yes,czarakas,1,COUP0018,OFFL0018
OAAT0118,medlynslope,max,yes,czarakas,1,COUP0019,OFFL0019
OAAT0119,medlynintercept,min,yes,czarakas,1,COUP0020,OFFL0020
OAAT0137,tpu25ratio,min,yes,czarakas,1,COUP0021,OFFL0021
OAAT0138,tpu25ratio,max,yes,czarakas,1,COUP0022,OFFL0022
OAAT0146,jmaxb0,max,yes,amyliu,1,COUP0023,OFFL0023
OAAT0147,jmaxb1,min,yes,amyliu,1,COUP0024,OFFL0024
OAAT0148,jmaxb1,max,yes,amyliu,1,COUP0025,OFFL0025
OAAT0159,kmax,min,yes,amyliu,1,COUP0026,OFFL0026
OAAT0160,kmax,max,yes,amyliu,1,COUP0027,OFFL0027
OAAT0171,nstem,min,yes,amyliu,1,COUP0028,OFFL0028
OAAT0172,nstem,max,yes,amyliu,1,COUP0029,OFFL0029
OAAT0355,lmrha,min,yes,amyliu,1,COUP0030,OFFL0030
OAAT0356,lmrha,max,yes,amyliu,1,COUP0031,OFFL0031
OAAT0400,medlynslope,min,yes,amyliu,1,COUP0032,OFFL0032
OAAT0403,jmaxb0,min,yes,amyliu,1,COUP0033,OFFL0033
OAAT0413,medlynintercept,max,yes,amyliu,1,COUP0034,OFFL0034
OAAT0458,sand_pf,min,yes,amyliu,1,COUP0035,OFFL0035
OAAT0459,sand_pf,max,yes,amyliu,1,COUP0036,OFFL0036
OAAT0023,z0mr,min,yes,czarakas,2,COUP0003,OFFL0003
OAAT0024,z0mr,max,yes,czarakas,2,COUP0004,OFFL0004
OAAT0033,zsno,min,yes,czarakas,2,COUP0005,OFFL0005
OAAT0034,zsno,max,yes,czarakas,2,COUP0006,OFFL0006
OAAT0042,zetamaxstable,min,yes,czarakas,2,COUP0011,OFFL0011
OAAT0043,zetamaxstable,max,yes,czarakas,2,COUP0012,OFFL0012