param_name,biome,criteria,rank,variable,measure
frac_sat_soil_dsl_init,global,LAC_DJF,1,LAC,mean
hksat_sf,global,LAC_DJF,2,LAC,mean
medlynslope,global,LAC_DJF,3,LAC,mean
d_max,global,LAC_DJF,4,LAC,mean
maximum_leaf_wetted_fraction,global,LAC_DJF,5,LAC,mean
medlynslope,global,LAC_JJA,1,LAC,mean
liq_canopy_storage_scalar,global,LAC_JJA,2,LAC,mean
frac_sat_soil_dsl_init,global,LAC_JJA,3,LAC,mean
wc2wjb0,global,LAC_JJA,4,LAC,mean
FUN_fracfixers,global,LAC_JJA,5,LAC,mean
frac_sat_soil_dsl_init,global,LAC_MAM,1,LAC,mean
lmrhd,global,LAC_MAM,2,LAC,mean
lmrse,global,LAC_MAM,3,LAC,mean
vcmaxha,global,LAC_MAM,4,LAC,mean
sucsat_sf,global,LAC_MAM,5,LAC,mean
frac_sat_soil_dsl_init,global,LAC_SON,1,LAC,mean
hksat_sf,global,LAC_SON,2,LAC,mean
sucsat_sf,global,LAC_SON,3,LAC,mean
medlynslope,global,LAC_SON,4,LAC,mean
maximum_leaf_wetted_fraction,global,LAC_SON,5,LAC,mean